id_eta,code_dep,nbr_t_eta,nbr_eta_2018
1,1,19599,519
2,2,14520,299
3,3,10891,282
4,4,7250,189
5,6,49039,1566
6,7,11022,355
7,8,8179,134
8,9,5428,165
9,10,10780,243
10,11,13354,369
11,12,11633,334
12,67,39268,1338
13,13,74510,2985
14,21,18837,616
15,22,20025,579
16,14,24775,796
17,15,5882,122
18,16,12285,415
19,17,25717,789
20,18,9475,237
21,19,8627,271
22,96,8571,232
23,23,4167,90
24,79,11498,330
25,24,15298,439
26,25,16863,627
27,26,19822,733
28,91,33559,1073
29,27,16748,430
30,28,12565,352
31,29,29304,909
32,30,25591,874
33,32,7740,192
34,33,59594,2421
35,971,11790,355
36,973,4938,143
37,34,43852,1954
38,97,8773,251
39,31,46972,2241
40,43,8200,220
41,52,5853,132
42,70,7026,153
43,5,7372,203
44,74,30753,973
45,65,8742,239
46,87,11377,405
47,68,23981,624
48,92,57534,3966
49,35,34854,1486
50,36,7444,196
51,37,19476,801
52,38,41551,1555
53,39,9436,273
54,974,24523,709
55,40,15320,424
56,42,24514,848
57,44,45318,2087
58,45,20062,652
59,41,10736,280
60,46,6777,210
61,47,12215,358
62,48,3589,91
63,49,25245,921
64,50,16543,357
65,51,21285,506
66,972,10878,319
67,53,10036,239
68,54,19721,682
69,55,5509,109
70,56,25656,845
71,57,27943,680
72,58,6898,171
73,59,68081,2392
74,60,21932,561
75,61,9732,228
76,75,182079,17030
77,62,36864,786
78,63,21341,784
79,64,27325,977
80,66,17515,504
81,69,72720,3531
82,71,18734,563
83,72,16048,475
84,73,20846,594
85,77,39135,1225
86,76,36506,1093
87,93,46637,2403
88,80,16682,430
89,81,12977,435
90,82,8653,229
91,90,3787,93
92,94,39887,1918
93,95,32003,962
94,83,41132,1103
95,84,23147,802
96,85,23688,676
97,86,12928,521
98,88,12254,297
99,89,10951,317
100,78,39785,1471
